"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.301911667E-1,2.554931641E-1,2.539529419E1,-4.215628052E1,4.921522357E1
7.402161667E-1,5.030822754E-2,2.548968506E1,-4.239862061E1,4.947089654E1
7.502421667E-1,1.037826538E-1,2.553076172E1,-4.231332397E1,4.941910512E1
7.602681667E-1,1.303939819E-1,2.557333374E1,-4.225302124E1,4.938957587E1
7.702931666E-1,2.828521729E-1,2.548977661E1,-4.225183105E1,4.934598205E1
7.803191668E-1,2.129058838E-1,2.564807129E1,-4.214852905E1,4.933930878E1
7.903451668E-1,-3.292083740E-2,2.562615967E1,-4.227947998E1,4.943941313E1
8.003701668E-1,1.054763794E-1,2.536831665E1,-4.201245117E1,4.907757806E1
8.103961668E-1,1.983871460E-1,2.557360840E1,-4.197665405E1,4.915372101E1
8.204221667E-1,1.671752930E-1,2.567633057E1,-4.202777100E1,4.925074044E1
8.304471667E-1,2.716522217E-1,2.558233643E1,-4.218750000E1,4.933877672E1
8.404731667E-1,7.109069824E-2,2.560308838E1,-4.243203735E1,4.955805669E1
8.504991666E-1,2.005310059E-1,2.571389771E1,-4.214627075E1,4.937157974E1
8.605241668E-1,1.453399658E-1,2.575244141E1,-4.218499756E1,4.942452206E1
8.705501668E-1,9.587097168E-2,2.553118896E1,-4.209341431E1,4.923115202E1
8.805761668E-1,2.108306885E-1,2.569387817E1,-4.222402954E1,4.942760864E1
8.906011668E-1,1.436538696E-1,2.559979248E1,-4.235461426E1,4.949023500E1
9.006271667E-1,1.454162598E-1,2.575634766E1,-4.207635498E1,4.933386503E1
9.106531667E-1,1.418762207E-1,2.557028198E1,-4.220272827E1,4.934500707E1
9.206781667E-1,2.167816162E-1,2.559567261E1,-4.195852661E1,4.914980576E1
9.307041666E-1,2.896270752E-1,2.561065674E1,-4.206463623E1,4.924858621E1
9.407301666E-1,6.891632080E-2,2.567169189E1,-4.207003784E1,4.928416174E1
9.507561668E-1,9.971618652E-2,2.538607788E1,-4.217501831E1,4.922595924E1
9.607811668E-1,-1.741561890E-1,2.554144287E1,-4.259771729E1,4.966851268E1
9.708071668E-1,7.324218750E-2,2.561917114E1,-4.212637329E1,4.930495534E1
