"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.622965833E-1,-7.467117310E-1,2.940515137E1,-5.008737183E1,5.808584442E1
7.723235833E-1,-7.026519775E-1,2.964755249E1,-4.999044800E1,5.812500305E1
7.823495832E-1,-8.336334229E-1,2.958453369E1,-5.008117676E1,5.817270704E1
7.923765832E-1,-9.494628906E-1,2.943185425E1,-5.040948486E1,5.838023371E1
8.024025832E-1,-8.177032471E-1,2.934982300E1,-5.009207153E1,5.806286575E1
8.124295834E-1,-5.859603882E-1,2.928665161E1,-4.995520020E1,5.791004523E1
8.224555834E-1,-6.035308838E-1,2.930673218E1,-5.000842285E1,5.796629328E1
8.324825834E-1,-7.389297485E-1,2.952883911E1,-5.032324219E1,5.835175285E1
8.425095833E-1,-7.271423340E-1,2.923043823E1,-5.017218018E1,5.807060288E1
8.525355833E-1,-7.528686523E-1,2.914700317E1,-5.035131836E1,5.818393134E1
8.625625833E-1,-5.666275024E-1,2.955435181E1,-4.995007324E1,5.804128353E1
8.725885833E-1,-7.381896973E-1,2.969116211E1,-5.000265503E1,5.815819410E1
8.826155833E-1,-7.493667603E-1,2.962210083E1,-4.999334717E1,5.811510276E1
8.926415832E-1,-9.498138428E-1,2.937985229E1,-4.987133789E1,5.788979366E1
9.026685832E-1,-7.945098877E-1,2.977551270E1,-5.027777100E1,5.843857167E1
9.126955832E-1,-9.380111694E-1,2.967358398E1,-5.037951660E1,5.847646659E1
9.227215834E-1,-1.158050537E0,2.992953491E1,-5.063009644E1,5.882622550E1
9.327485834E-1,-9.712448120E-1,2.980508423E1,-5.025476074E1,5.843652402E1
9.427745834E-1,-1.436149597E0,2.995343018E1,-5.052664185E1,5.875552775E1
9.528015833E-1,-1.144119263E0,2.973117065E1,-5.033557129E1,5.847154226E1
9.628275833E-1,-1.258613586E0,2.980148315E1,-5.040139771E1,5.856631623E1
9.728545833E-1,-1.150520325E0,2.975381470E1,-5.015060425E1,5.832406272E1
9.828815833E-1,-1.215278625E0,2.949450684E1,-5.035958862E1,5.837371842E1
9.929075832E-1,-1.034645081E0,2.957192993E1,-5.022064209E1,5.828964250E1
1.002934583E0,-1.191482544E0,2.958477783E1,-5.037826538E1,5.843499237E1
1.012960583E0,-1.510658264E0,2.957647705E1,-5.087359619E1,5.886571899E1
1.022987583E0,-1.153953552E0,2.962017822E1,-5.035775757E1,5.843449593E1
1.033013583E0,-1.605911255E0,2.998184204E1,-5.090493774E1,5.909993646E1
1.043040583E0,-1.458160400E0,2.969052124E1,-5.074050903E1,5.880690895E1
1.053067583E0,-1.217155457E0,2.966372681E1,-5.060238647E1,5.866872823E1
1.063093583E0,-1.372779846E0,2.961984253E1,-5.067089844E1,5.870910955E1
1.073120583E0,-1.378868103E0,2.988565063E1,-5.034600830E1,5.856427190E1
1.083146583E0,-1.798431396E0,2.991622925E1,-5.144732666E1,5.954025990E1
1.093173583E0,-1.098747253E0,3.004028320E1,-5.004830933E1,5.838201030E1
1.103200583E0,-8.870773315E-1,2.971963501E1,-4.993252563E1,5.811454833E1
1.113226583E0,-1.509674072E0,2.987802124E1,-5.159951782E1,5.964466035E1
1.123253583E0,-1.015487671E0,2.985205078E1,-5.023736572E1,5.844629215E1
1.133279583E0,-1.483207703E0,2.953112793E1,-5.084393311E1,5.881660442E1
1.143306583E0,-1.190032959E0,2.980441284E1,-5.076419067E1,5.887887786E1
1.153332583E0,-9.350891113E-1,2.971148682E1,-5.016714478E1,5.831285669E1
1.163359583E0,-1.499565125E0,2.946182251E1,-5.131973267E1,5.919427880E1
1.173386583E0,-1.107643127E0,2.956478882E1,-5.040536499E1,5.844659469E1
1.183412583E0,-1.228889465E0,2.962780762E1,-5.055792236E1,5.861246171E1
1.193439583E0,-9.731674194E-1,2.958865356E1,-5.009011841E1,5.818466668E1
1.203465583E0,-9.484481812E-1,2.980136108E1,-5.013922119E1,5.833491389E1
1.213492583E0,-1.709068298E0,2.997390747E1,-5.093127441E1,5.912149150E1
1.223518583E0,-1.145156860E0,2.991192627E1,-5.031243896E1,5.854379755E1
1.233545583E0,-1.476631165E0,2.978134155E1,-5.076818848E1,5.887714077E1
1.243572583E0,-1.023864746E0,2.977072144E1,-5.030926514E1,5.846679667E1
1.253598583E0,-1.371902466E0,2.920602417E1,-5.108636475E1,5.886162270E1
1.263625583E0,-1.331413269E0,2.923873901E1,-5.116781616E1,5.894762023E1
1.273651583E0,-1.337837219E0,2.955838013E1,-5.030273438E1,5.835968411E1
1.283678583E0,-1.236763000E0,2.945492554E1,-5.036605835E1,5.835976401E1
1.293705583E0,-9.399642944E-1,2.942233276E1,-5.024475098E1,5.823308509E1
1.303731583E0,-1.057357788E0,2.944659424E1,-5.060635376E1,5.855956761E1
1.313758583E0,-1.366195679E0,2.944595337E1,-5.052716064E1,5.849721894E1
1.323784583E0,-9.108123779E-1,2.936807251E1,-5.015869141E1,5.813095205E1
1.333811583E0,-1.636550903E0,2.962518311E1,-5.127630615E1,5.924178716E1
1.343837583E0,-1.164192200E0,2.963320923E1,-5.046777344E1,5.853613062E1
1.353864583E0,-9.296035767E-1,2.970501709E1,-5.016873169E1,5.831083812E1
1.363891583E0,-9.573135376E-1,2.952218628E1,-5.013165283E1,5.818641205E1
1.373917583E0,-8.067779541E-1,2.965551758E1,-4.994836426E1,5.809423126E1
1.383944583E0,-7.736129761E-1,2.951150513E1,-5.002990723E1,5.809061051E1
1.393970750E0,-6.650466919E-1,2.945126343E1,-4.993225098E1,5.797455383E1
1.403997750E0,-9.220581055E-1,2.978936768E1,-4.998056030E1,5.819203576E1
1.414023750E0,-8.231124878E-1,2.955004883E1,-4.978915405E1,5.790373702E1
1.424050750E0,-7.979583740E-1,2.967108154E1,-4.981274414E1,5.798550936E1
1.434077750E0,-9.394836426E-1,2.934146118E1,-5.037014771E1,5.830056392E1
1.444103750E0,-7.051849365E-1,2.936672974E1,-5.007418823E1,5.805451256E1
1.454130750E0,-6.504364014E-1,2.945892334E1,-4.987783813E1,5.793142471E1
1.464156750E0,-8.006057739E-1,2.967492676E1,-5.017697144E1,5.830069219E1
1.474183750E0,-6.956100464E-1,2.947979736E1,-5.032180786E1,5.832518043E1
1.484210750E0,-5.706253052E-1,2.959869385E1,-4.991989136E1,5.803795175E1
1.494236750E0,-1.040893555E0,2.967391968E1,-5.053088379E1,5.860883197E1
1.504263750E0,-7.945175171E-1,2.976586914E1,-4.985018921E1,5.806616560E1
1.514289750E0,-1.061889648E0,2.959631348E1,-5.026394653E1,5.833981233E1
1.524316750E0,-1.285408020E0,2.940170288E1,-5.109664917E1,5.896592204E1
1.534343750E0,-1.058570862E0,2.942361450E1,-5.069512939E1,5.862478833E1
1.544369750E0,-8.154525757E-1,2.941403198E1,-5.069284058E1,5.861411371E1
1.554396750E0,-8.815994263E-1,2.942773438E1,-5.036511230E1,5.833878046E1
1.564422750E0,-6.528396606E-1,2.938275146E1,-5.006335449E1,5.805266356E1
1.574449750E0,-9.611968994E-1,2.928845215E1,-5.080728149E1,5.865251215E1
1.584475750E0,-5.722579956E-1,2.889517212E1,-5.025280762E1,5.797070919E1
1.594502750E0,-1.117416382E0,2.934271240E1,-5.049691772E1,5.841388611E1
1.604529750E0,-8.273925781E-1,2.977655029E1,-5.010232544E1,5.828868278E1
1.614555750E0,-5.852737427E-1,2.975506592E1,-5.008035278E1,5.825588578E1
1.624582750E0,-1.483734131E0,2.978213501E1,-5.148431396E1,5.949631600E1
1.634608750E0,-1.612937927E0,2.979644775E1,-5.110113525E1,5.917563596E1
1.644635750E0,-1.437858582E0,2.973788452E1,-5.098980713E1,5.904548792E1
1.654662750E0,-1.038429260E0,2.931365967E1,-5.025048828E1,5.818488250E1
1.664688750E0,-8.349380493E-1,2.918035889E1,-5.017910767E1,5.805284931E1
1.674715750E0,-1.682777405E0,2.945886230E1,-5.119723511E1,5.909156616E1
1.684741750E0,-1.089302063E0,2.977386475E1,-5.042260742E1,5.856713191E1
1.694768750E0,-1.467643738E0,2.966543579E1,-5.140802002E1,5.937151321E1
1.704795750E0,-1.068222046E0,2.947216797E1,-5.050473022E1,5.848484896E1
1.714821750E0,-1.098808289E0,2.928228760E1,-5.063452148E1,5.850226075E1
1.724848750E0,-1.410202026E0,2.933761597E1,-5.104769897E1,5.889441358E1
1.734874750E0,-1.062644958E0,2.928982544E1,-5.068453979E1,5.854866064E1
1.744901750E0,-9.544296265E-1,2.941165161E1,-5.070617676E1,5.862655156E1
1.754928750E0,-1.002616882E0,2.955075073E1,-5.054223633E1,5.855569795E1
1.764954750E0,-9.023361206E-1,2.945428467E1,-5.049462891E1,5.846431941E1
1.774981750E0,-1.312095642E0,2.943692017E1,-5.084216309E1,5.876375933E1
1.785007750E0,-1.012405396E0,2.960220337E1,-5.043063354E1,5.848558975E1
1.795034750E0,-9.722976685E-1,2.946408081E1,-5.054953003E1,5.851779564E1
1.805061750E0,-1.027908325E0,2.961993408E1,-5.042001343E1,5.848568068E1
1.815087750E0,-8.803100586E-1,2.944482422E1,-5.019479370E1,5.820042898E1
1.825114750E0,-1.134765625E0,2.961346436E1,-5.038162231E1,5.845128597E1
1.835140750E0,-8.526000977E-1,2.932537842E1,-5.010794067E1,5.806470929E1
1.845167750E0,-9.661712646E-1,2.925030518E1,-5.055734253E1,5.841710985E1
1.855194750E0,-4.432754517E-1,2.932794189E1,-4.985095215E1,5.783979684E1
1.865220750E0,-4.168624878E-1,2.916473389E1,-4.989700317E1,5.779676810E1
1.875247750E0,-6.892242432E-1,2.941189575E1,-4.990414429E1,5.793063316E1
1.885273750E0,-6.301269531E-1,2.943231201E1,-5.010870361E1,5.811660888E1
1.895300750E0,-9.121093750E-1,2.913552856E1,-5.072503662E1,5.850419052E1
1.905327750E0,-7.743606567E-1,2.895089722E1,-5.042449951E1,5.814967098E1
